kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,scientificName,locality,stateProvince,decimalLatitude,decimalLongitude,eventDate,day,month,year,basisOfRecord,institutionCode,catalogNumber,identifiedBy,dateIdentified,rightsHolder,recordedBy
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Plumas County,California,,,1913-06-13T00:00:00Z,13,6,1913,PRESERVED_SPECIMEN,USDA-ARS,JPS28004,R.W. Thorp 1968,,,F.W. Nunenmacher
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Plumas County,California,,,1913-06-13T00:00:00Z,13,6,1913,PRESERVED_SPECIMEN,USDA-ARS,JPS25790,R.W. Thorp 1968,,,F.W. Nunenmacher
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Plumas County,California,,,1913-06-14T00:00:00Z,14,6,1913,PRESERVED_SPECIMEN,USDA-ARS,JPS25771,R.W. Thorp 1968,,,F.W. Nunenmacher
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Plumas County,California,,,1913-06-13T00:00:00Z,13,6,1913,PRESERVED_SPECIMEN,USDA-ARS,JPS16242,R.W. Thorp 1968,,,F.W. Nunenmacher
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Sierra County,California,,,1913-06-19T00:00:00Z,19,6,1913,PRESERVED_SPECIMEN,USDA-ARS,JPS25435,R.W. Thorp 1968,,,F.W. Nunenmacher
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Sierra County,California,,,1913-06-19T00:00:00Z,19,6,1913,PRESERVED_SPECIMEN,USDA-ARS,JPS25375,R.W. Thorp 1968,,,F.W. Nunenmacher
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",El Dorado County,California,,,1913-06-27T00:00:00Z,27,6,1913,PRESERVED_SPECIMEN,USDA-ARS,JPS28016,R.W. Thorp 1968,,,F.W. Nunenmacher
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",El Dorado County,California,,,1913-06-29T00:00:00Z,29,6,1913,PRESERVED_SPECIMEN,USDA-ARS,JPS28015,R.W. Thorp 1968,,,F.W. Nunenmacher
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",El Dorado County,California,,,1913-06-29T00:00:00Z,29,6,1913,PRESERVED_SPECIMEN,USDA-ARS,JPS28009,R.W. Thorp 1968,,,F.W. Nunenmacher
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",El Dorado County,California,,,1913-06-26T00:00:00Z,26,6,1913,PRESERVED_SPECIMEN,USDA-ARS,JPS28008,R.W. Thorp 1968,,,F.W. Nunenmacher
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",El Dorado County,California,,,1913-06-26T00:00:00Z,26,6,1913,PRESERVED_SPECIMEN,USDA-ARS,JPS28007,R.W. Thorp 1968,,,F.W. Nunenmacher
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",El Dorado County,California,,,1913-06-29T00:00:00Z,29,6,1913,PRESERVED_SPECIMEN,USDA-ARS,JPS28006,R.W. Thorp 1968,,,F.W. Nunenmacher
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",El Dorado County,California,,,1913-06-29T00:00:00Z,29,6,1913,PRESERVED_SPECIMEN,USDA-ARS,JPS28005,R.W. Thorp 1968,,,F.W. Nunenmacher
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",El Dorado County,California,,,1913-06-29T00:00:00Z,29,6,1913,PRESERVED_SPECIMEN,USDA-ARS,JPS28002,R.W. Thorp 1968,,,F.W. Nunenmacher
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",El Dorado County,California,,,1913-06-29T00:00:00Z,29,6,1913,PRESERVED_SPECIMEN,USDA-ARS,JPS28001,R.W. Thorp 1968,,,F.W. Nunenmacher
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",El Dorado County,California,,,1913-06-29T00:00:00Z,29,6,1913,PRESERVED_SPECIMEN,USDA-ARS,JPS28000,R.W. Thorp 1968,,,F.W. Nunenmacher
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",El Dorado County,California,,,1913-06-29T00:00:00Z,29,6,1913,PRESERVED_SPECIMEN,USDA-ARS,JPS27998,R.W. Thorp 1968,,,F.W. Nunenmacher
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",El Dorado County,California,,,1913-06-29T00:00:00Z,29,6,1913,PRESERVED_SPECIMEN,USDA-ARS,JPS27997,R.W. Thorp 1968,,,F.W. Nunenmacher
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",El Dorado County,California,,,1912-06-29T00:00:00Z,29,6,1912,PRESERVED_SPECIMEN,USDA-ARS,JPS27650,R.W. Thorp 1968,,,F.W. Nunenmacher
